code;url;product_name;brands;stores;nutrition_grade_fr;categories;main_category_fr;countries_fr;image_url;image_small_url;last_modified_t
3350031532597;http://world-fr.openfoodfacts.org/produit/3350031532597/petits-beurre-croustillant-tablette-de-chocolat-au-lait-monoprix;Petits Beurre Croustillant Tablette de Chocolat au Lait;Monoprix;;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat,Biscuits au chocolat au lait;Biscuits;France;http://fr.openfoodfacts.org/images/products/335/003/153/2597/front.13.400.jpg;http://fr.openfoodfacts.org/images/products/335/003/153/2597/front.13.200.jpg;1503674184
3350031577352;http://world-fr.openfoodfacts.org/produit/3350031577352/petits-beurre-croustillants-tablette-de-chocolat-au-lait-monoprix;Petits beurre croustillants tablette de chocolat au lait;Monoprix;Monoprix;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat,fr:Biscuits au chocolat au lait;Biscuits;France;http://fr.openfoodfacts.org/images/products/335/003/157/7352/front.7.400.jpg;http://fr.openfoodfacts.org/images/products/335/003/157/7352/front.7.200.jpg;1490623098
3350031619618;http://world-fr.openfoodfacts.org/produit/3350031619618/tuiles-aux-amandes-effilees-monoprix;Tuiles aux amandes effilées;Monoprix;Monoprix;e;Biscuits;Biscuits;France;http://fr.openfoodfacts.org/images/products/335/003/161/9618/front.10.400.jpg;http://fr.openfoodfacts.org/images/products/335/003/161/9618/front.10.200.jpg;1415091600
3350031630231;http://world-fr.openfoodfacts.org/produit/3350031630231/cigarettes-gourmandes-monoprix;Cigarettes gourmandes;Monoprix;Monoprix;e;Biscuits;Biscuits;France;http://fr.openfoodfacts.org/images/products/335/003/163/0231/front.7.400.jpg;http://fr.openfoodfacts.org/images/products/335/003/163/0231/front.7.200.jpg;1421104273
3350031639159;http://world-fr.openfoodfacts.org/produit/3350031639159/palmiers-feuilletes-et-dores-monoprix;Palmiers feuilletés et dorés;Monoprix;Monoprix;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits feuilletés,Palmiers;Biscuits;France;http://fr.openfoodfacts.org/images/products/335/003/163/9159/front.4.400.jpg;http://fr.openfoodfacts.org/images/products/335/003/163/9159/front.4.200.jpg;1474870019
3350031666728;http://world-fr.openfoodfacts.org/produit/3350031666728/galettes-bretonnes-monoprix-gourmet;Galettes bretonnes;Monoprix Gourmet,Monoprix;;e;Snacks sucrés,Biscuits et gâteaux,Biscuits;Biscuits;France;http://fr.openfoodfacts.org/images/products/335/003/166/6728/front.4.400.jpg;http://fr.openfoodfacts.org/images/products/335/003/166/6728/front.4.200.jpg;1494662587
3350031666742;http://world-fr.openfoodfacts.org/produit/3350031666742/crepes-dentelle-monoprix-gourmet;Crêpes dentelle;Monoprix gourmet,Monoprix;Monoprix;e;Snacks sucrés,Biscuits et gâteaux,Biscuits;Biscuits;France;http://fr.openfoodfacts.org/images/products/335/003/166/6742/front.11.400.jpg;http://fr.openfoodfacts.org/images/products/335/003/166/6742/front.11.200.jpg;1474658622
3350031707513;http://world-fr.openfoodfacts.org/produit/3350031707513/gouters-fourrees-gout-chocolat-riches-en-cereales-monoprix;Goûters fourrées Goût Chocolat riches en céréales;Monoprix;;d;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat;Biscuits;France;http://fr.openfoodfacts.org/images/products/335/003/170/7513/front.7.400.jpg;http://fr.openfoodfacts.org/images/products/335/003/170/7513/front.7.200.jpg;1452422072
3350031721458;http://world-fr.openfoodfacts.org/produit/3350031721458/barquettes-choco-noisettes-monoprix;Barquettes choco-noisettes;Monoprix,Monoprix P'tit Prix;Monoprix;d;en:sugary-snacks, en:biscuits-and-cakes, en:biscuits, en:chocolate-biscuits, fr:barquettes;Biscuits;France;http://fr.openfoodfacts.org/images/products/335/003/172/1458/front.8.400.jpg;http://fr.openfoodfacts.org/images/products/335/003/172/1458/front.8.200.jpg;1510677225
3350031768880;http://world-fr.openfoodfacts.org/produit/3350031768880/sables-cereales-chocolat-au-lait-monoprix;Sablés céréales chocolat au lait;Monoprix;;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat,Biscuits au chocolat au lait;Biscuits;France;http://fr.openfoodfacts.org/images/products/335/003/176/8880/front.17.400.jpg;http://fr.openfoodfacts.org/images/products/335/003/176/8880/front.17.200.jpg;1488989415
