code;url;product_name;brands;stores;nutrition_grade_fr;categories;main_category_fr;countries_fr;image_url;image_small_url;last_modified_t;energy_100g;fat_100g;carbohydrates_100g;sugars_100g;fiber_100g;proteins_100g;salt_100g
5907471402508;http://world-fr.openfoodfacts.org/produit/5907471402508/magic-duo-double-sandwich-dr-gerard;Magic Duo Double Sandwich;Dr Gerard;O'Cady Plus;e;Sugary snacks,Biscuits and cakes,Biscuits,Chocolate biscuits,Biscuits fourrés;Biscuits;France;https://static.openfoodfacts.org/images/products/590/747/140/2508/front_fr.17.400.jpg;https://static.openfoodfacts.org/images/products/590/747/140/2508/front_fr.17.200.jpg;1498155352;2218.0;28.0;61.0;29.0;;7.8;0.3
6132011100395;http://world-fr.openfoodfacts.org/produit/6132011100395/croustille-lu;Croustille;Lu;;c;fr:biscuit;Biscuits;France;https://static.openfoodfacts.org/images/products/613/201/110/0395/front_fr.8.400.jpg;https://static.openfoodfacts.org/images/products/613/201/110/0395/front_fr.8.200.jpg;1522669143;2218.0;30.0;60.0;0.0;;4.5;0.05
6194008552341;http://world-fr.openfoodfacts.org/produit/6194008552341/prince-creme-gout-chocolat-lu;Prince Crème goût Chocolat;LU;;e;en:sugary-snacks, en:biscuits-and-cakes, en:biscuits, en:chocolate-biscuits;Biscuits;France;https://static.openfoodfacts.org/images/products/619/400/855/2341/front_fr.7.400.jpg;https://static.openfoodfacts.org/images/products/619/400/855/2341/front_fr.7.200.jpg;1513513927;1979.0;22.1;63.3;27.15;0.0;4.9;0.19
6194008552358;http://world-fr.openfoodfacts.org/produit/6194008552358/prince-creme-gout-vanille-4-paquets-lu;Prince Crème goût vanille (4 Paquets);LU,Prince;;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat,Biscuits fourrés;Biscuits;France;https://static.openfoodfacts.org/images/products/619/400/855/2358/front_fr.8.400.jpg;https://static.openfoodfacts.org/images/products/619/400/855/2358/front_fr.8.200.jpg;1504964111;2059.0;23.6;65.2;27.0;;4.9;0.14
6291106490565;http://world-fr.openfoodfacts.org/produit/6291106490565/mini-sugar-hearts-biscuits-signature-snacks;Mini Sugar Hearts Biscuits;Signature Snacks;;e;Palmiers;Biscuits;France;https://static.openfoodfacts.org/images/products/629/110/649/0565/front_fr.4.400.jpg;https://static.openfoodfacts.org/images/products/629/110/649/0565/front_fr.4.200.jpg;1522068333;1925.0;15.4;72.0;24.8;;8.25;0.49999999999999895
6923597333686;http://world-fr.openfoodfacts.org/produit/6923597333686/husband-cake-beautiful-butterfly;Husband Cake;Beautiful Butterfly;;d;Biscuits;Biscuits;France;https://static.openfoodfacts.org/images/products/692/359/733/3686/front_fr.6.400.jpg;https://static.openfoodfacts.org/images/products/692/359/733/3686/front_fr.6.200.jpg;1519745338;1536.0;16.7;60.0;36.7;;3.33;0.125
7104975458699;http://world-fr.openfoodfacts.org/produit/7104975458699/oreo-cheesecake-fraise;Oreo Cheesecake Fraise;Oreo,Mondelez;Monoprix,Cora,Auchan;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat,Biscuits à la crème;Biscuits;France;https://static.openfoodfacts.org/images/products/710/497/545/8699/front_fr.8.400.jpg;https://static.openfoodfacts.org/images/products/710/497/545/8699/front_fr.8.200.jpg;1510341621;2004.0;20.0;68.0;37.0;3.1;5.2;0.91
7290000434476;http://world-fr.openfoodfacts.org/produit/7290000434476/biscuits-au-vin-papouchado;Biscuits au Vin;Papouchado;;e;Biscuits secs;Biscuits;France;https://static.openfoodfacts.org/images/products/729/000/043/4476/front_fr.15.400.jpg;https://static.openfoodfacts.org/images/products/729/000/043/4476/front_fr.15.200.jpg;1522777453;2029.0;19.6;71.3;13.4;;5.7;10.0
7290016474510;http://world-fr.openfoodfacts.org/produit/7290016474510/hello-kitty-caliber-fredo;Hello kitty;Caliber Fredo;;e;Biscuits;Biscuits;France;https://static.openfoodfacts.org/images/products/729/001/647/4510/front_fr.4.400.jpg;https://static.openfoodfacts.org/images/products/729/001/647/4510/front_fr.4.200.jpg;1517004908;2063.0;21.8;69.0;28.9;1.9;6.3;2.42
7291647867788;http://world-fr.openfoodfacts.org/produit/7291647867788/prince-petit-dej;Prince Petit Déj;Prince;;d;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits aux céréales;Biscuits;France;https://static.openfoodfacts.org/images/products/729/164/786/7788/front_fr.11.400.jpg;https://static.openfoodfacts.org/images/products/729/164/786/7788/front_fr.11.200.jpg;1460569812;1975.0;17.0;70.0;29.0;3.7;7.1;0.55
7314710470088;http://world-fr.openfoodfacts.org/produit/7314710470088/galettes-suedoises-aux-flocons-d-avoine-et-au-chocolat-sans-marque;Galettes Suédoises aux Flocons d'Avoine et au Chocolat;Sans marque;;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Biscuits au chocolat;Biscuits;France;https://static.openfoodfacts.org/images/products/731/471/047/0088/front_fr.3.400.jpg;https://static.openfoodfacts.org/images/products/731/471/047/0088/front_fr.3.200.jpg;1491983138;2113.0;25.8;61.0;40.5;0.0;5.2;0.64
7314710605015;http://world-fr.openfoodfacts.org/produit/7314710605015/biscuits-au-gingembre-gille;Biscuits au Gingembre;Gille;;e;Snacks sucrés,Biscuits et gâteaux,Biscuits;Biscuits;France;https://static.openfoodfacts.org/images/products/731/471/060/5015/front_fr.7.400.jpg;https://static.openfoodfacts.org/images/products/731/471/060/5015/front_fr.7.200.jpg;1513880718;1954.0;17.0;70.0;30.0;3.0;6.0;0.536
7574826006049;http://world-fr.openfoodfacts.org/produit/7574826006049/the-original-speculoos-lotus;The Original Speculoos;Lotus;Auchan;e;Snacks sucrés,Biscuits et gâteaux,Biscuits,Spéculoos;Biscuits;France;https://static.openfoodfacts.org/images/products/757/482/600/6049/front_fr.3.400.jpg;https://static.openfoodfacts.org/images/products/757/482/600/6049/front_fr.3.200.jpg;1491313739;2033.0;19.0;72.7;38.1;1.3;4.9;0.92
7610216530234;http://world-fr.openfoodfacts.org/produit/7610216530234/feuillety-s-salted-puff-pastry-biscuits-sel-de-guerande-kambly;Feuillety s Salted Puff Pastry Biscuits Sel De Guérande Kambly;Kambly;;e;Biscuits feuilletés;Biscuits;France;https://static.openfoodfacts.org/images/products/761/021/653/0234/front_fr.9.400.jpg;https://static.openfoodfacts.org/images/products/761/021/653/0234/front_fr.9.200.jpg;1520528970;2029.0;23.0;56.0;5.0;;12.0;1.8
7610216531057;http://world-fr.openfoodfacts.org/produit/7610216531057/twisties-olives-kambly;Twisties Olives;Kambly;Carrefour;e;Biscuits feuilletés,Biscuits salés;Biscuits;France;https://static.openfoodfacts.org/images/products/761/021/653/1057/front_fr.6.400.jpg;https://static.openfoodfacts.org/images/products/761/021/653/1057/front_fr.6.200.jpg;1487492400;2119.0;27.0;53.0;4.5;;11.0;1.8
